"","Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Species.Comments","Checklist.Comments","Location"
"1","S41923241","Emu","Dromaius novaehollandiae",200,"1","AU-NSW","Snowy River",-36.50501,148.30601,"01-12-2018","08:00 AM","eBird - Traveling Count",480,0,350,NA,3,"","","Driving from Thredbo to Wingello",""
"2","S48746720","Emu","Dromaius novaehollandiae",200,"5","AU-NSW","Warren",-30.8522271,147.4844794,"09-23-2018","06:27 PM","eBird - Casual Observation",NA,0,NA,NA,1,"","","drive to Macquarie marshes",""
"3","S48746750","Emu","Dromaius novaehollandiae",200,"5","AU-NSW","Warren",-30.896687,147.4853862,"09-25-2018","08:39 AM","eBird - Casual Observation",NA,0,NA,NA,1,"","","",""
"4","S47598669","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"65","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"5","S47656790","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"15","AU-NSW","Randwick",-33.8977058,151.2341452,"08-05-2018","08:16 AM","eBird - Traveling Count",196,1,5.52,NA,3,"","","",""
"6","S47913102","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"25","AU-NSW","Randwick",-33.8977058,151.2341452,"08-18-2018","10:32 AM","eBird - Traveling Count",124,1,4.75,NA,2,"","","",""
"7","S48360609","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"4","AU-NSW","Randwick",-33.8977058,151.2341452,"09-08-2018","04:12 PM","eBird - Traveling Count",67,1,4.11,NA,1,"","","",""
"8","S48451818","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"5","AU-NSW","Randwick",-33.8977058,151.2341452,"09-12-2018","04:46 PM","eBird - Traveling Count",60,1,3,NA,2,"","","",""
"9","S48854501","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"20","AU-NSW","Randwick",-33.8977058,151.2341452,"10-01-2018","09:38 AM","eBird - Traveling Count",102,1,5.38,NA,2,"","","",""
"10","S47592755","Graylag Goose (Domestic type)","Anser anser (Domestic type)",248,"3","AU-NSW","Randwick",-33.9032981,151.2276435,"08-02-2018","07:34 AM","eBird - Traveling Count",59,1,2.25,NA,1,"","","",""
"11","S47598669","Freckled Duck","Stictonetta naevosa",326,"2","AU-NSW","Randwick",-33.8977058,151.2341452,"08-02-2018","02:52 PM","eBird - Traveling Count",84,1,3.58,NA,3,"","","",""
"12","S43151896","Black Swan","Cygnus atratus",329,"4","AU-NSW","Botany Bay",-33.9378058,151.2056923,"02-25-2018","06:49 AM","eBird - Traveling Count",118,1,4.62,NA,4,"","","",""
"13","S43923623","Black Swan","Cygnus atratus",329,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"03-25-2018","07:11 AM","eBird - Traveling Count",111,1,1.13,NA,2,"","","",""
"14","S47611818","Black Swan","Cygnus atratus",329,"3","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-03-2018","07:18 AM","eBird - Traveling Count",94,1,3.22,NA,2,"","","",""
"15","S47749968","Black Swan","Cygnus atratus",329,"3","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-10-2018","07:15 AM","eBird - Traveling Count",90,1,2.65,NA,4,"","","",""
"16","S47792959","Black Swan","Cygnus atratus",329,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"08-12-2018","07:05 AM","eBird - Traveling Count",194,1,5.77,NA,3,"","","",""
"17","S48893823","Black Swan","Cygnus atratus",329,"2","AU-NSW","Botany Bay",-33.9378058,151.2056923,"10-03-2018","05:58 AM","eBird - Traveling Count",111,1,2.752,NA,4,"","","",""
"18","S45437230","Black Swan","Cygnus atratus",329,"2","AU-NSW","Randwick",-33.9070505,151.2224028,"05-08-2018","11:00 AM","eBird - Traveling Count",52,1,3.04,NA,1,"","","",""
"19","S47591456","Black Swan","Cygnus atratus",329,"1","AU-NSW","Randwick",-33.9062686,151.2220493,"08-02-2018","07:14 AM","eBird - Traveling Count",19,1,1.02,NA,1,"","","",""
